== apple-macos-26.5-1x-light-reduced-transparency / webgpu / after   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a60d759ed0e4373f6/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w25/g3/dryrun/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
checkerboard__capsule-button__rest       calibration native  0.8880  0.0783  0.0705  0.0548  0.0683  0.0795  0.0663  0.0592  0.0681  0.0772  0.0621  0.0636  0.0672  0.0475  0.0646  0.0809  0.0634    1.70      NW  0.587
checkerboard__capsule-button__rest       calibration web     0.9320  0.0641  0.0524  0.0095  0.0607  0.0668  0.0285  0.0563  0.0605  0.0667  0.0099  0.0196  0.0548 -0.0034  0.0153  0.0680  0.0383     inf      NW -0.050
photo__capsule-button__rest              calibration native  0.8917  0.0683  0.0523  0.0530  0.0572  0.0443  0.0580  0.0556  0.0566  0.0685  0.0530  0.0489  0.0585  0.0463  0.0590  0.0588  0.0561    1.54       S  0.647
photo__capsule-button__rest              calibration web     0.8930  0.0987  0.0327  0.0268  0.0462  0.0591  0.0699  0.0912  0.0726  0.0988  0.0195  0.0017  0.0214  0.0422  0.0539  0.0864  0.0498   58.28       S  0.017
checkerboard__rrect-md__rest             calibration native  0.8880  0.0815  0.0694  0.0634  0.0583  0.0760  0.0673  0.0787  0.0776  0.0800  0.0549  0.0630  0.0608  0.0753  0.0829  0.0808  0.0611    1.51     WNW  0.661
checkerboard__rrect-md__rest             calibration web     0.9331  0.0648  0.0515 -0.0280  0.0122  0.0540  0.0393  0.0635  0.0642  0.0614  0.0273  0.0095  0.0537  0.0604  0.0658  0.0655  0.0491     inf     WNW -0.426
photo__rrect-md__rest                    calibration native  0.8921  0.0705  0.0522  0.0604  0.0543  0.0612  0.0550  0.0671  0.0536  0.0684  0.0412  0.0467  0.0422  0.0585  0.0534  0.0603  0.0520    1.71       N  0.584
photo__rrect-md__rest                    calibration web     0.8957  0.0892  0.0327  0.0118  0.0496  0.0841  0.0776  0.0682  0.0713  0.0886  0.0246 -0.0046  0.0274  0.0805  0.0602  0.0474  0.0616     inf       N -0.051
photo__capsule-button__rest-tint-orange  calibration native  0.4091  0.1438  0.0514  0.0226  0.0866  0.1582  0.1799  0.2191  0.1824  0.1459  0.0515  0.0123  0.0509  0.1392  0.1361  0.1296  0.1312   17.85      SE  0.056
photo__capsule-button__rest-tint-orange  calibration web     0.4125  0.0670  0.0221  0.0129  0.0338  0.0850  0.0862  0.1112  0.0931  0.0683  0.0211  0.0085  0.0212  0.0539  0.0507  0.0622  0.0444   13.09      SE  0.076

-> /Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a60d759ed0e4373f6/packages/calibration/results/2026-09-09-w25-thick-span-composite/g3/canonical-reads/apple-macos-26.5-1x-light-reduced-transparency-webgpu-after-angular.json
